标题／微博内容,信息属性,原创/转发,发布日期,原微博内容,认证类型,地域,城市,性别,全文内容,粉丝数,微博数,转,评,赞,话题,微博情绪,精准地域,中图地址,MD5-作者ID,MD5-mid,MD5-根微博mid,MD5-根微博用户UID,MD5-父微博ID,MD5-父微博用户ID
没用复兴号，差评 ,中性,转发,2020/11/13 7:32,@长三角铁路 #合安高铁开始试运行# 上午7点20分，G55401次动车组已经停靠合肥南站10号站台，列车将于7点40分，从合肥南站出发，中途停靠肥西站，预计上午8点46分到达安庆站。#在路上看中国# @中国铁路 @微博交通 ??,普通,江苏,泰州,男,没用复兴号，差评 【原微博】 @长三角铁路 #合安高铁开始试运行# 上午7点20分，G55401次动车组已经停靠合肥南站10号站台，列车将于7点40分，从合肥南站出发，中途停靠肥西站，预计上午8点46分到达安庆站。#在路上看中国# @中国铁路 @微博交通 ??,5094,9323,0,0,0,在路上看中国;合安高铁开始试运行,喜悦,其他,"[http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6tta4qgj21400u0dpo.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6trz6q6j21400u0dn4.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/726c1f87ly1gkn6tq2gacj21400u0gr8.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/726c1f87ly1gkn6tr0e4hj21400u07em.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/726c1f87ly1gkn6tpekhjj21400u0wj7.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/726c1f87ly1gkn6tnkzsqj21400u07ae.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6to7qn4j21400u0djx.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6totov4j21400u0gr4.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6tmqrv1j20u0140n43.jpg""]""",14e5b535a6ec22b07e11d3ddc1131263,efa02c8fd69665f07ec4fbb7f4370f79,613f2b52989d4092ee91ab42d6d42a8b,5c0eeb200f7932f5c763e5c4598e99a4,613f2b52989d4092ee91ab42d6d42a8b,5c0eeb200f7932f5c763e5c4598e99a4
转发微博 ,非敏感,转发,2020/11/13 7:36,@长三角铁路 #在路上看中国# 【今天起，#合安高铁开始试运行#】今天，小编将和央视、新华社、人民网、中国新闻网、安徽电视台、安徽人民广播电台、安徽日报等近20家中央和地方媒体记者，从合肥南站登上前往安庆站的试运行列车，带大家体验合肥至安庆间的高铁速度，小编将在@长三角铁路 微博动态发布相关信息，请持续关注哦！@中国铁路 @微博交通,普通,浙江,衢州,男,转发微博 【原微博】 @长三角铁路 #在路上看中国# 【今天起，#合安高铁开始试运行#】今天，小编将和央视、新华社、人民网、中国新闻网、安徽电视台、安徽人民广播电台、安徽日报等近20家中央和地方媒体记者，从合肥南站登上前往安庆站的试运行列车，带大家体验合肥至安庆间的高铁速度，小编将在@长三角铁路 微博动态发布相关信息，请持续关注哦！@中国铁路 @微博交通,63,5031,0,0,0,在路上看中国;合安高铁开始试运行,中性,其他,"[http://wx3.sinaimg.cn/bmiddle/726c1f87gy1gkov05b6eej20p30jbgzq.jpg""]""",6b3bca7d487d94726950dbdccd98e98e,2894bcaa0bb7a6055c91b3670737a639,44fb5f8c0630226bebfc9255f8232f3e,5c0eeb200f7932f5c763e5c4598e99a4,44fb5f8c0630226bebfc9255f8232f3e,5c0eeb200f7932f5c763e5c4598e99a4
转发微博 ,非敏感,转发,2020/11/13 7:36,@长三角铁路 #合安高铁开始试运行# 上午7点20分，G55401次动车组已经停靠合肥南站10号站台，列车将于7点40分，从合肥南站出发，中途停靠肥西站，预计上午8点46分到达安庆站。#在路上看中国# @中国铁路 @微博交通 ??,普通,浙江,衢州,男,转发微博 【原微博】 @长三角铁路 #合安高铁开始试运行# 上午7点20分，G55401次动车组已经停靠合肥南站10号站台，列车将于7点40分，从合肥南站出发，中途停靠肥西站，预计上午8点46分到达安庆站。#在路上看中国# @中国铁路 @微博交通 ??,63,5031,0,0,0,在路上看中国;合安高铁开始试运行,中性,其他,"[http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6tta4qgj21400u0dpo.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6trz6q6j21400u0dn4.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/726c1f87ly1gkn6tq2gacj21400u0gr8.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/726c1f87ly1gkn6tr0e4hj21400u07em.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/726c1f87ly1gkn6tpekhjj21400u0wj7.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/726c1f87ly1gkn6tnkzsqj21400u07ae.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6to7qn4j21400u0djx.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6totov4j21400u0gr4.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6tmqrv1j20u0140n43.jpg""]""",6b3bca7d487d94726950dbdccd98e98e,7c8d5fe3129d2b1d9742b12d760e11b3,613f2b52989d4092ee91ab42d6d42a8b,5c0eeb200f7932f5c763e5c4598e99a4,613f2b52989d4092ee91ab42d6d42a8b,5c0eeb200f7932f5c763e5c4598e99a4
转发微博 ,非敏感,转发,2020/11/13 7:36,@长三角铁路 #合安高铁开始试运行# 迎着清晨的第一缕阳光，奔向合安[挤眼][挤眼][挤眼][加油][加油][加油]#在路上看中国# @中国铁路 @微博交通 ??,普通,浙江,衢州,男,转发微博 【原微博】 @长三角铁路 #合安高铁开始试运行# 迎着清晨的第一缕阳光，奔向合安[挤眼][挤眼][挤眼][加油][加油][加油]#在路上看中国# @中国铁路 @微博交通 ??,63,5031,0,0,0,在路上看中国;合安高铁开始试运行,中性,其他,"[http://wx3.sinaimg.cn/bmiddle/726c1f87ly1gkn6gr5mavj21400u0q4o.jpg""]""",6b3bca7d487d94726950dbdccd98e98e,88237a6e92bdd719a7552bb8c7278944,0d507366b053b515d9796bfe730f7c4a,5c0eeb200f7932f5c763e5c4598e99a4,0d507366b053b515d9796bfe730f7c4a,5c0eeb200f7932f5c763e5c4598e99a4
终于试运行了[good][good][good] ,非敏感,转发,2020/11/13 7:40,@长三角铁路 #合安高铁开始试运行# 上午7点20分，G55401次动车组已经停靠合肥南站10号站台，列车将于7点40分，从合肥南站出发，中途停靠肥西站，预计上午8点46分到达安庆站。#在路上看中国# @中国铁路 @微博交通 ??,普通,上海, ,男,终于试运行了[good][good][good] 【原微博】 @长三角铁路 #合安高铁开始试运行# 上午7点20分，G55401次动车组已经停靠合肥南站10号站台，列车将于7点40分，从合肥南站出发，中途停靠肥西站，预计上午8点46分到达安庆站。#在路上看中国# @中国铁路 @微博交通 ??,21,960,0,0,0,在路上看中国;合安高铁开始试运行,喜悦,其他,"[http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6tta4qgj21400u0dpo.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6trz6q6j21400u0dn4.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/726c1f87ly1gkn6tq2gacj21400u0gr8.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/726c1f87ly1gkn6tr0e4hj21400u07em.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/726c1f87ly1gkn6tpekhjj21400u0wj7.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/726c1f87ly1gkn6tnkzsqj21400u07ae.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6to7qn4j21400u0djx.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6totov4j21400u0gr4.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6tmqrv1j20u0140n43.jpg""]""",0ca01e44bafd4549265e45afbf157003,cf47df9d15e24f0fd27220a71b28179e,613f2b52989d4092ee91ab42d6d42a8b,5c0eeb200f7932f5c763e5c4598e99a4,613f2b52989d4092ee91ab42d6d42a8b,5c0eeb200f7932f5c763e5c4598e99a4
试运行马上开始啦[good][good][good] ,非敏感,转发,2020/11/13 7:41,@长三角铁路 #合安高铁开始试运行# 上午7点20分，G55401次动车组已经停靠合肥南站10号站台，列车将于7点40分，从合肥南站出发，中途停靠肥西站，预计上午8点46分到达安庆站。#在路上看中国# @中国铁路 @微博交通 ??,普通,上海, ,男,试运行马上开始啦[good][good][good] 【原微博】 @长三角铁路 #合安高铁开始试运行# 上午7点20分，G55401次动车组已经停靠合肥南站10号站台，列车将于7点40分，从合肥南站出发，中途停靠肥西站，预计上午8点46分到达安庆站。#在路上看中国# @中国铁路 @微博交通 ??,21,960,0,0,0,在路上看中国;合安高铁开始试运行,喜悦,其他,"[http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6tta4qgj21400u0dpo.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6trz6q6j21400u0dn4.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/726c1f87ly1gkn6tq2gacj21400u0gr8.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/726c1f87ly1gkn6tr0e4hj21400u07em.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/726c1f87ly1gkn6tpekhjj21400u0wj7.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/726c1f87ly1gkn6tnkzsqj21400u07ae.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6to7qn4j21400u0djx.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6totov4j21400u0gr4.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6tmqrv1j20u0140n43.jpg""]""",0ca01e44bafd4549265e45afbf157003,2cb1c6c6eb31ee2e1be9b9eef60dca22,613f2b52989d4092ee91ab42d6d42a8b,5c0eeb200f7932f5c763e5c4598e99a4,613f2b52989d4092ee91ab42d6d42a8b,5c0eeb200f7932f5c763e5c4598e99a4
#合安高铁开始试运行# 上午7点40分，G55401次试运行列车缓缓驶离合肥南站，标志着合安高铁联调联试工作结束，转入试运行阶段。#在路上看中国# @中国铁路 @微博交通 http://t.cn/A6GSOn5h ??,非敏感,原创,2020/11/13 7:44, ,蓝V,上海,闸北区,男,#合安高铁开始试运行# 上午7点40分，G55401次试运行列车缓缓驶离合肥南站，标志着合安高铁联调联试工作结束，转入试运行阶段。#在路上看中国# @中国铁路 @微博交通 http://t.cn/A6GSOn5h ??,2063222,29466,30,7,18,在路上看中国;合安高铁开始试运行,中性,"安徽省,安徽,合肥,合肥市", ,5c0eeb200f7932f5c763e5c4598e99a4,d037bbc7d2b9860510e2f4578de772a9,,,,
转发微博 ,非敏感,转发,2020/11/13 7:45,@长三角铁路 #合安高铁开始试运行# 上午7点40分，G55401次试运行列车缓缓驶离合肥南站，标志着合安高铁联调联试工作结束，转入试运行阶段。#在路上看中国# @中国铁路 @微博交通 http://t.cn/A6GSOn5h ??,普通,安徽,黄山,男,转发微博 【原微博】 @长三角铁路 #合安高铁开始试运行# 上午7点40分，G55401次试运行列车缓缓驶离合肥南站，标志着合安高铁联调联试工作结束，转入试运行阶段。#在路上看中国# @中国铁路 @微博交通 http://t.cn/A6GSOn5h ??,25,22,0,0,0,在路上看中国;合安高铁开始试运行,中性,其他, ,1510db2dbe935ff15071aaa71107f272,4e7983e40610a90a8d950d9459a10cb5,d037bbc7d2b9860510e2f4578de772a9,5c0eeb200f7932f5c763e5c4598e99a4,d037bbc7d2b9860510e2f4578de772a9,5c0eeb200f7932f5c763e5c4598e99a4
转发 ,非敏感,转发,2020/11/13 7:48,@长三角铁路 #合安高铁开始试运行# 上午7点40分，G55401次试运行列车缓缓驶离合肥南站，标志着合安高铁联调联试工作结束，转入试运行阶段。#在路上看中国# @中国铁路 @微博交通 http://t.cn/A6GSOn5h ??,蓝V,福建,龙岩,男,转发 【原微博】 @长三角铁路 #合安高铁开始试运行# 上午7点40分，G55401次试运行列车缓缓驶离合肥南站，标志着合安高铁联调联试工作结束，转入试运行阶段。#在路上看中国# @中国铁路 @微博交通 http://t.cn/A6GSOn5h ??,2306,16137,0,0,2,在路上看中国;合安高铁开始试运行,中性,其他, ,5f4fed10aae031cfcb7c05791d1a5f7a,df4d2e784332c806a572a55f37bfc0c6,d037bbc7d2b9860510e2f4578de772a9,5c0eeb200f7932f5c763e5c4598e99a4,d037bbc7d2b9860510e2f4578de772a9,5c0eeb200f7932f5c763e5c4598e99a4
转发微博 ,非敏感,转发,2020/11/13 7:54,@长三角铁路 #合安高铁开始试运行# 上午7点20分，G55401次动车组已经停靠合肥南站10号站台，列车将于7点40分，从合肥南站出发，中途停靠肥西站，预计上午8点46分到达安庆站。#在路上看中国# @中国铁路 @微博交通 ??,蓝V,江苏,苏州,男,转发微博 【原微博】 @长三角铁路 #合安高铁开始试运行# 上午7点20分，G55401次动车组已经停靠合肥南站10号站台，列车将于7点40分，从合肥南站出发，中途停靠肥西站，预计上午8点46分到达安庆站。#在路上看中国# @中国铁路 @微博交通 ??,329776,21610,0,0,0,在路上看中国;合安高铁开始试运行,中性,其他,"[http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6tta4qgj21400u0dpo.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6trz6q6j21400u0dn4.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/726c1f87ly1gkn6tq2gacj21400u0gr8.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/726c1f87ly1gkn6tr0e4hj21400u07em.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/726c1f87ly1gkn6tpekhjj21400u0wj7.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/726c1f87ly1gkn6tnkzsqj21400u07ae.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6to7qn4j21400u0djx.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6totov4j21400u0gr4.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6tmqrv1j20u0140n43.jpg""]""",c27c3e73b0aeacf81b0cd87acb52d94b,19bca86a5959546bf796acdc81b161b5,613f2b52989d4092ee91ab42d6d42a8b,5c0eeb200f7932f5c763e5c4598e99a4,613f2b52989d4092ee91ab42d6d42a8b,5c0eeb200f7932f5c763e5c4598e99a4
